Respondent,Professional,ProgramHobby,Country,University,EmploymentStatus,FormalEducation,MajorUndergrad,HomeRemote,CompanySize,CompanyType,YearsProgram,YearsCodedJob,YearsCodedJobPast,DeveloperType,WebDeveloperType,MobileDeveloperType,NonDeveloperType,CareerSatisfaction,JobSatisfaction,ExCoderReturn,ExCoderNotForMe,ExCoderBalance,ExCoder10Years,ExCoderBelonged,ExCoderSkills,ExCoderWillNotCode,ExCoderActive,PronounceGIF,ProblemSolving,BuildingThings,LearningNewTech,BoringDetails,JobSecurity,DiversityImportant,AnnoyingUI,FriendsDevelopers,RightWrongWay,UnderstandComputers,SeriousWork,InvestTimeTools,WorkPayCare,KinshipDevelopers,ChallengeMyself,CompetePeers,ChangeWorld,JobSeekingStatus,HoursPerWeek,LastNewJob,AssessJobIndustry,AssessJobRole,AssessJobExp,AssessJobDept,AssessJobTech,AssessJobProjects,AssessJobCompensation,AssessJobOffice,AssessJobCommute,AssessJobRemote,AssessJobLeaders,AssessJobProfDevel,AssessJobDiversity,AssessJobProduct,AssessJobFinances,ImportantBenefits,ClickyKeys,JobProfile,ResumePrompted,LearnedHiring,ImportantHiringAlgorithms,ImportantHiringTechExp,ImportantHiringCommunication,ImportantHiringOpenSource,ImportantHiringPMExp,ImportantHiringCompanies,ImportantHiringTitles,ImportantHiringEducation,ImportantHiringRep,ImportantHiringGettingThingsDone,Currency,Overpaid,TabsSpaces,EducationImportant,EducationTypes,SelfTaughtTypes,TimeAfterBootcamp,CousinEducation,WorkStart,HaveWorkedLanguage,WantWorkLanguage,HaveWorkedFramework,WantWorkFramework,HaveWorkedDatabase,WantWorkDatabase,HaveWorkedPlatform,WantWorkPlatform,IDE,AuditoryEnvironment,Methodology,VersionControl,CheckInCode,ShipIt,OtherPeoplesCode,ProjectManagement,EnjoyDebugging,InTheZone,DifficultCommunication,CollaborateRemote,MetricAssess,EquipmentSatisfiedMonitors,EquipmentSatisfiedCPU,EquipmentSatisfiedRAM,EquipmentSatisfiedStorage,EquipmentSatisfiedRW,InfluenceInternet,InfluenceWorkstation,InfluenceHardware,InfluenceServers,InfluenceTechStack,InfluenceDeptTech,InfluenceVizTools,InfluenceDatabase,InfluenceCloud,InfluenceConsultants,InfluenceRecruitment,InfluenceCommunication,StackOverflowDescribes,StackOverflowSatisfaction,StackOverflowDevices,StackOverflowFoundAnswer,StackOverflowCopiedCode,StackOverflowJobListing,StackOverflowCompanyPage,StackOverflowJobSearch,StackOverflowNewQuestion,StackOverflowAnswer,StackOverflowMetaChat,StackOverflowAdsRelevant,StackOverflowAdsDistracting,StackOverflowModeration,StackOverflowCommunity,StackOverflowHelpful,StackOverflowBetter,StackOverflowWhatDo,StackOverflowMakeMoney,Gender,HighestEducationParents,Race,SurveyLong,QuestionsInteresting,QuestionsConfusing,InterestedAnswers,Salary,ExpectedSalary
1,Student,"Yes, both",United States,No,"Not employed, and not looking for work",Secondary school,NA,NA,NA,NA,2 to 3 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"With a soft ""g,"" like ""jiff""",Strongly agree,Strongly agree,Agree,Disagree,Strongly agree,Agree,Agree,Disagree,Somewhat agree,Disagree,Strongly agree,Strongly agree,Strongly disagree,Agree,Agree,Disagree,Agree,"I'm not actively looking, but I am open to new opportunities",0,Not applicable/ never,Very important,Very important,Important,Very important,Very important,Very important,Important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Not very important,Somewhat important,Stock options; Vacation/days off; Remote options,Yes,Other,NA,NA,Important,Important,Important,Somewhat important,Important,Not very important,Not very important,Not at all important,Somewhat important,Very important,NA,NA,Tabs,NA,Online course; Open source contributions,NA,NA,NA,6:00 AM,Swift,Swift,NA,NA,NA,NA,iOS,iOS,Atom; Xcode,Turn on some music,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat satisfied,Not very satisfied,Not at all satisfied,Very satisfied,Satisfied,Not very satisfied,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I have created a CV or Developer Story on Stack Overflow,9,Desktop; iOS app,At least once each week,Haven't done at all,Once or twice,Haven't done at all,Haven't done at all,Several times,Several times,Once or twice,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Male,High school,White or of European descent,Strongly disagree,Strongly agree,Disagree,Strongly agree,NA,NA
2,Student,"Yes, both",United Kingdom,"Yes, full-time",Employed part-time,Some college/university study without earning a bachelor's degree,Computer science or software engineering,"More than half, but not all, the time",20 to 99 employees,"Privately-held limited company, not in startup mode",9 to 10 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Other,NA,Some other way,Important,Important,Important,Important,Somewhat important,Somewhat important,Not very important,Somewhat important,Not very important,Very important,British pounds sterling (£),NA,Spaces,NA,Online course; Self-taught; Hackathon; Open source contributions,Official documentation; Stack Overflow Q&A; Other,NA,NA,10:00 AM,JavaScript; Python; Ruby; SQL,Java; Python; Ruby; SQL,.NET Core,.NET Core,MySQL; SQLite,MySQL; SQLite,Amazon Web Services (AWS),Linux Desktop; Raspberry Pi; Amazon Web Services (AWS),Atom; Notepad++; Vim; PyCharm; RubyMine; Visual Studio; Visual Studio Code,"Put on some ambient sounds (e.g. whale songs, forest sounds)",NA,Git,Multiple times a day,Agree,Disagree,Strongly disagree,Agree,Somewhat agree,Disagree,Strongly disagree,Customer satisfaction; On time/in budget; Peers' rating; Self-rating,Not very satisfied,Satisfied,Satisfied,Satisfied,Somewhat satisfied,Satisfied,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,I have created a CV or Developer Story on Stack Overflow,8,Desktop; iOS browser; iOS app; Android browser; Android app,Several times,Several times,Once or twice,Once or twice,Once or twice,Haven't done at all,Several times,At least once each week,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Male,A master's degree,White or of European descent,Somewhat agree,Somewhat agree,Disagree,Strongly agree,NA,37500
3,Professional developer,"Yes, both",United Kingdom,No,Employed full-time,Bachelor's degree,Computer science or software engineering,"Less than half the time, but at least one day each week","10,000 or more employees",Publicly-traded corporation,20 or more years,20 or more years,NA,Other,NA,NA,NA,8,9,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Agree,Strongly agree,Agree,Somewhat agree,Disagree,Disagree,Agree,Somewhat agree,Disagree,Somewhat agree,Agree,Disagree,Agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,British pounds sterling (£),Neither underpaid nor overpaid,Spaces,Not very important,Self-taught; Coding competition; Hackathon; Open source contributions,Official documentation; Trade book; Textbook; Stack Overflow Q&A; Non-Stack online communities; Company internal community; Friends network; Built-in help; Other,NA,NA,9:00 AM,Java; PHP; Python,C; Python; Rust,NA,NA,MySQL,NA,NA,NA,Sublime Text; Vim; IntelliJ,Turn on some music,Agile; Lean; Scrum; Extreme; Pair; Kanban,Mercurial,Multiple times a day,Agree,Disagree,Disagree,Agree,Agree,Disagree,Somewhat agree,Customer satisfaction; Benchmarked product performance; Manager's rating; Self-rating; Other,Very satisfied,Somewhat satisfied,Satisfied,Satisfied,Somewhat satisfied,Very satisfied,A lot of influence,Some influence,Some influence,Some influence,A lot of influence,Some influence,Some influence,Some influence,Some influence,Some influence,Some influence,I have created a CV or Developer Story on Stack Overflow,8,Desktop; iOS browser; iOS app,Once or twice,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,At least once each day,At least once each day,Disagree,Disagree,Strongly disagree,Strongly agree,Agree,Agree,Agree,Disagree,Male,A professional degree,White or of European descent,Somewhat agree,Agree,Disagree,Agree,113750,NA
4,Professional non-developer who sometimes writes code,"Yes, both",United States,No,Employed full-time,Doctoral degree,A non-computer-focused engineering discipline,"Less than half the time, but at least one day each week","10,000 or more employees",Non-profit/non-governmental organization or private school/university,14 to 15 years,9 to 10 years,NA,NA,NA,NA,Data scientist,6,3,NA,NA,NA,NA,NA,NA,NA,NA,"With a soft ""g,"" like ""jiff""",Strongly agree,Strongly agree,Strongly agree,Disagree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Strongly disagree,Strongly agree,Agree,Disagree,Strongly agree,Strongly agree,Somewhat agree,Agree,I am actively looking for a job,5,Between 2 and 4 years ago,Somewhat important,Somewhat important,Somewhat important,Important,Important,Very important,Important,Very important,Important,Somewhat important,Not very important,Very important,Important,Very important,Very important,Stock options; Annual bonus; Health benefits; Equipment; Private office,Yes,LinkedIn; Other,NA,"A friend, family member, or former colleague told me",Somewhat important,Somewhat important,Very important,Very important,Somewhat important,Somewhat important,Not very important,Not very important,Important,Very important,NA,NA,Spaces,NA,NA,NA,NA,NA,9:00 AM,Matlab; Python; R; SQL,Matlab; Python; R; SQL,React,Hadoop; Node.js; React,MongoDB; Redis; SQL Server; MySQL; SQLite,MongoDB; Redis; SQL Server; MySQL; SQLite,Windows Desktop; Linux Desktop; Mac OS; Amazon Web Services (AWS),Windows Desktop; Linux Desktop; Mac OS; Amazon Web Services (AWS),Notepad++; Sublime Text; TextMate; Vim; IPython / Jupyter; NetBeans; PyCharm; Xcode,Turn on some music,Agile,Git,Multiple times a day,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Strongly agree,Disagree,Somewhat agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I have created a CV or Developer Story on Stack Overflow,10,Desktop; iOS browser; iOS app,At least once each week,Several times,At least once each week,Several times,At least once each week,Several times,At least once each day,At least once each day,Agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Disagree,Male,A doctoral degree,White or of European descent,Agree,Agree,Somewhat agree,Strongly agree,NA,NA
5,Professional developer,"Yes, I program as a hobby",Switzerland,No,Employed full-time,Master's degree,Computer science or software engineering,Never,10 to 19 employees,"Privately-held limited company, not in startup mode",20 or more years,10 to 11 years,NA,Mobile developer; Graphics programming; Desktop applications developer,NA,NA,NA,6,8,NA,NA,NA,NA,NA,NA,NA,NA,"With a soft ""g,"" like ""jiff""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Student,"Yes, both",New Zealand,"Yes, full-time","Not employed, and not looking for work",Secondary school,NA,NA,NA,NA,6 to 7 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I'm not actively looking, but I am open to new opportunities",0,Not applicable/ never,Important,Somewhat important,Important,Important,Somewhat important,Somewhat important,Important,Somewhat important,Important,Somewhat important,Not at all important,Somewhat important,Somewhat important,Somewhat important,Not very important,Vacation/days off; Expected work hours,Yes,NA,NA,NA,Not very important,Not very important,Not very important,Important,Not very important,Not very important,Not very important,Not very important,Not at all important,Not very important,NA,NA,Both,NA,Self-taught; Hackathon; Open source contributions,Official documentation; Stack Overflow Q&A; Non-Stack online communities; Built-in help,NA,NA,10:00 AM,JavaScript; PHP; Rust,Clojure; Elixir; Erlang; Haskell; Rust; TypeScript,NA,NA,MySQL,NA,Linux Desktop; Amazon Web Services (AWS),Linux Desktop,Emacs; Vim,Turn on some music,NA,Git,A few times a week,NA,NA,NA,Agree,Strongly agree,NA,Agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",6,Desktop; iOS browser; Android browser,Several times,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,NA,NA,Agree,Strongly disagree,Agree,Strongly agree,Agree,Disagree,NA,A bachelor's degree,White or of European descent,Disagree,Agree,Disagree,Agree,NA,NA
7,Professional non-developer who sometimes writes code,"Yes, both",United States,No,Employed full-time,Master's degree,A non-computer-focused engineering discipline,"Less than half the time, but at least one day each week",20 to 99 employees,Government agency or public school/university,9 to 10 years,8 to 9 years,NA,NA,NA,NA,Data scientist,7,6,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I'm not actively looking, but I am open to new opportunities",1,More than 4 years ago,Somewhat important,Very important,Not very important,Important,Important,Very important,Important,Important,Important,Very important,Very important,Very important,Somewhat important,Not very important,Very important,Health benefits; Equipment; Professional development sponsorship; Education sponsorship; Remote options,Yes,NA,NA,"A friend, family member, or former colleague told me",Very important,Important,Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not very important,Very important,NA,NA,Spaces,NA,Online course; Part-time/evening course; On-the-job training; Self-taught; Open source contributions,Official documentation; Trade book; Textbook; Stack Overflow Q&A; Friends network; Built-in help,NA,NA,7:00 AM,Matlab; Python,JavaScript; Julia; Matlab; Python; R; SQL,NA,Hadoop; Node.js,SQLite,MongoDB; SQL Server; PostgreSQL; SQLite,Windows Desktop,Arduino; Raspberry Pi,Sublime Text; IPython / Jupyter; Visual Studio Code,Turn on some music,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Satisfied,Very satisfied,Very satisfied,Satisfied,Satisfied,Very satisfied,Some influence,No influence at all,Not much influence,Not much influence,A lot of influence,A lot of influence,Some influence,No influence at all,No influence at all,No influence at all,Not much influence,I have created a CV or Developer Story on Stack Overflow,8,Desktop; iOS browser; iOS app,Several times,Once or twice,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Several times,At least once each day,Somewhat agree,Disagree,Disagree,Agree,Agree,Strongly agree,Agree,Disagree,Male,A doctoral degree,White or of European descent,Disagree,Agree,Disagree,Agree,NA,NA
8,Professional developer,"Yes, both",Poland,No,Employed full-time,Master's degree,Computer science or software engineering,All or almost all the time (I'm full-time remote),Fewer than 10 employees,Pre-series A startup,10 to 11 years,7 to 8 years,NA,Web developer,Full stack Web developer,NA,NA,7,7,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I'm not actively looking, but I am open to new opportunities",1,Less than a year ago,Not very important,Important,Somewhat important,Important,Important,Important,Important,Somewhat important,Important,Somewhat important,Somewhat important,Important,Not very important,Somewhat important,Not very important,Equipment; Professional development sponsorship; Expected work hours; Remote options,Yes,LinkedIn,A recruiter contacted me,A tech-specific job board,Somewhat important,Somewhat important,Important,Somewhat important,Not very important,Somewhat important,Not very important,Somewhat important,Not very important,Important,NA,NA,Spaces,Important,Online course; On-the-job training; Self-taught; Coding competition; Hackathon; Open source contributions,Official documentation; Trade book; Stack Overflow Q&A; Stack Overflow Docs; Built-in help,NA,Get a job as a QA tester,Noon,CoffeeScript; Clojure; Elixir; Erlang; Haskell; JavaScript; Python; Ruby,Clojure; Elixir; Haskell; Scala,React,NA,Redis; MySQL; PostgreSQL,NA,Amazon Web Services (AWS),NA,Vim,Turn on some music,Agile; Pair; Kanban,Git,Multiple times a day,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,Disagree,Benchmarked product performance; On time/in budget; Revenue performance; Peers' rating,Satisfied,Somewhat satisfied,Satisfied,Satisfied,Satisfied,Satisfied,I am the final decision maker,No influence at all,Not much influence,Some influence,Some influence,Not much influence,No influence at all,Not much influence,No influence at all,Not much influence,Some influence,I have created a CV or Developer Story on Stack Overflow,7,Desktop,Once or twice,Once or twice,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Several times,Haven't done at all,Disagree,Disagree,Disagree,Somewhat agree,Agree,Agree,Disagree,Somewhat agree,Male,A master's degree,White or of European descent,Agree,Somewhat agree,Disagree,Agree,NA,NA
9,Professional developer,"Yes, I program as a hobby",Colombia,"Yes, part-time",Employed full-time,Bachelor's degree,Computer science or software engineering,"Less than half the time, but at least one day each week","5,000 to 9,999 employees","Privately-held limited company, not in startup mode",13 to 14 years,7 to 8 years,NA,Web developer; Mobile developer,NA,NA,NA,6,6,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Agree,I am not interested in new job opportunities,2,Less than a year ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stock options; Annual bonus; Health benefits; Equipment; Remote options,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neither underpaid nor overpaid,Tabs,NA,NA,NA,NA,NA,9:00 AM,C#; JavaScript,F#; Go,AngularJS; Node.js; .NET Core,Hadoop; React; Spark,SQL Server,Cassandra; Redis,Android; Microsoft Azure,Serverless; Amazon Web Services (AWS); Microsoft Azure,Vim; Visual Studio; Visual Studio Code,Turn on some music,Agile; Scrum; Pair; Kanban; Domain-driven design,Git,Multiple times a day,Somewhat agree,Somewhat agree,Agree,Agree,Strongly agree,Disagree,Strongly disagree,Release frequency; Customer satisfaction; Revenue performance; Peers' rating,Somewhat satisfied,Satisfied,Satisfied,Somewhat satisfied,Satisfied,Not very satisfied,Some influence,No influence at all,No influence at all,Some influence,Some influence,A lot of influence,No influence at all,No influence at all,Some influence,No influence at all,No influence at all,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",8,Desktop; Android app,Several times,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Once or twice,Once or twice,Haven't done at all,Disagree,Disagree,Disagree,Somewhat agree,Agree,Strongly agree,Somewhat agree,Strongly disagree,Male,A bachelor's degree,Hispanic or Latino/Latina,Somewhat agree,Strongly agree,Disagree,Strongly agree,NA,NA
10,Professional developer,"Yes, I program as a hobby",France,"Yes, full-time","Independent contractor, freelancer, or self-employed",Master's degree,Computer science or software engineering,It's complicated,NA,NA,13 to 14 years,8 to 9 years,NA,Mobile developer; Desktop applications developer,NA,NA,NA,6,8,NA,NA,NA,NA,NA,NA,NA,NA,"With a soft ""g,"" like ""jiff""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I'm not actively looking, but I am open to new opportunities",1,Less than a year ago,Important,Somewhat important,Important,Somewhat important,Important,Somewhat important,Important,Important,Important,Very important,Somewhat important,Important,Somewhat important,Somewhat important,Somewhat important,Vacation/days off; Long-term leave; Expected work hours; Remote options; Child/elder care,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both,Somewhat important,Self-taught; Open source contributions,Official documentation; Trade book; Non-Stack online communities; Built-in help,NA,NA,10:00 AM,Objective-C; Swift,C#; Java; Objective-C; Swift,NA,.NET Core,PostgreSQL,NA,iOS; Amazon Web Services (AWS),Android; iOS; Windows Phone; Windows Desktop,Coda; Sublime Text; Visual Studio; Xcode,Turn on some music,Agile; Scrum; Pair; Kanban,Git,Multiple times a day,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,Disagree,Disagree,Customer satisfaction; On time/in budget; Peers' rating,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I have created a CV or Developer Story on Stack Overflow,9,Desktop,Several times,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Once or twice,Haven't done at all,Somewhat agree,Disagree,Somewhat agree,Agree,Agree,Agree,Strongly disagree,Disagree,Male,A doctoral degree,White or of European descent,Somewhat agree,Agree,Disagree,Agree,NA,NA
